,word1,index,probability,cumsum
339,Dává,1,3.9912193175014965e-05,0.11570544801436893
340,Díky,120,0.004789463181001796,0.12049491119537072
341,Dílem,3,0.0001197365795250449,0.12061464777489576
342,Díru,1,3.9912193175014965e-05,0.12065455996807078
343,Dívejte,8,0.0003192975454001197,0.12097385751347091
344,Děkovat,1,3.9912193175014965e-05,0.12101376970664593
345,Dělají,1,3.9912193175014965e-05,0.12105368189982095
346,Dělat,2,7.982438635002993e-05,0.12113350628617098
347,Dělejte,3,0.0001197365795250449,0.12125324286569603
348,Dělá,1,3.9912193175014965e-05,0.12129315505887105
349,Děláte,1,3.9912193175014965e-05,0.12133306725204607
350,Dětem,3,0.0001197365795250449,0.12145280383157112
351,Děti,24,0.0009578926362003592,0.12241069646777147
352,Dřít,1,3.9912193175014965e-05,0.1224506086609465
353,Dříve,13,0.0005188585112751946,0.1229694671722217
354,Dřívější,1,3.9912193175014965e-05,0.12300937936539671
355,Důkaz,1,3.9912193175014965e-05,0.12304929155857174
356,Důkladnou,1,3.9912193175014965e-05,0.12308920375174676
357,Důkladně,7,0.00027938535222510476,0.12336858910397186
358,Důležitou,11,0.00043903412492516465,0.12380762322889702
359,Důležitá,10,0.0003991219317501497,0.12420674516064717
360,Důležité,69,0.0027539413290760327,0.1269606864897232
361,Důležitý,8,0.0003192975454001197,0.1272799840351233
362,Důraznou,1,3.9912193175014965e-05,0.1273198962282983
363,Důrazně,1,3.9912193175014965e-05,0.12735980842147332
364,Důsledkem,11,0.00043903412492516465,0.12779884254639848
365,Důsledky,5,0.00019956096587507485,0.12799840351227354
366,Důslednost,1,3.9912193175014965e-05,0.12803831570544855
367,Důsledný,1,3.9912193175014965e-05,0.12807822789862355
368,Důsledně,18,0.0007184194771502694,0.12879664737577382
369,Důvod,9,0.0003592097385751347,0.12915585711434896
370,Důvodem,3,0.0001197365795250449,0.129275593693874
371,Důvody,1,3.9912193175014965e-05,0.12931550588704901
372,Důvodů,2,7.982438635002993e-05,0.12939533027339906
373,Důvěrný,1,3.9912193175014965e-05,0.12943524246657406
374,Důvěřujte,1,3.9912193175014965e-05,0.12947515465974907
375,Echo,1,3.9912193175014965e-05,0.12951506685292408
376,Efekt,1,3.9912193175014965e-05,0.12955497904609908
377,Elegantně,1,3.9912193175014965e-05,0.1295948912392741
378,Elán,1,3.9912193175014965e-05,0.1296348034324491
379,Elánu,4,0.00015964877270005986,0.12979445220514915
380,Emoce,1,3.9912193175014965e-05,0.12983436439832416
381,Emocionální,1,3.9912193175014965e-05,0.12987427659149917
382,Energicky,3,0.0001197365795250449,0.12999401317102421
383,Energie,4,0.00015964877270005986,0.13015366194372427
384,Energii,4,0.00015964877270005986,0.13031331071642432
385,Energií,2,7.982438635002993e-05,0.13039313510277437
386,Erupci,1,3.9912193175014965e-05,0.13043304729594937
387,Evidentně,2,7.982438635002993e-05,0.13051287168229941
388,Existuje,25,0.000997804829375374,0.13151067651167478
389,Existují,4,0.00015964877270005986,0.13167032528437483
390,Fakt,41,0.0016363999201756136,0.13330672520455045
391,Faktem,29,0.0011574536020754341,0.1344641788066259
392,Falešná,2,7.982438635002993e-05,0.13454400319297594
393,Fantazii,1,3.9912193175014965e-05,0.13458391538615094
394,Finanční,5,0.00019956096587507485,0.134783476352026
395,Finančně,3,0.0001197365795250449,0.13490321293155105
396,Firmu,1,3.9912193175014965e-05,0.13494312512472606
397,Flirt,11,0.00043903412492516465,0.13538215924965122
398,Flirtovat,4,0.00015964877270005986,0.13554180802235127
399,Flirtování,5,0.00019956096587507485,0.13574136898822634
400,Funkci,1,3.9912193175014965e-05,0.13578128118140134
401,Fyzickou,4,0.00015964877270005986,0.1359409299541014
402,Fyzicky,1,3.9912193175014965e-05,0.1359808421472764
403,Fyzická,1,3.9912193175014965e-05,0.1360207543404514
404,Gesto,1,3.9912193175014965e-05,0.13606066653362642
